export,import 1,import 2,import 3
Enzymes,Wheat Gluten,Portable Lighting,Other Inedible Animal Products
Essential Oils,Insect Resins,Aldehydes,Other Sugars
Ethers,Other Coloring Matter,Petroleum Resins,Epoxides
Ethylene Polymers,Acyclic Hydrocarbons,Reaction and Catalytic Products,Petroleum Jelly
Excavation Machinery,Other Stainless Steel Bars,Iron Housewares,Kaolin Coated Paper
Eyewear,Non-Retail Carded Wool Yarn,Eyewear Frames,Non-Knit Active Wear
Fairground Amusements,Baked Goods,Jams,Umbrella and Walking Stick Accessories
Feldspar,Electric Furnaces,Other Glass Articles,Raw Zinc
Felt,Other Synthetic Fabrics,Jute Woven Fabric,Hemp Fibers
Felt or Coated Fabric Garments,Chromium Ore,Iron Ore,Non-Retail Pure Cotton Yarn
Fermented Milk Products,Metal Stoppers,Aluminium Bars,Hot-Rolled Iron
Fish Fillets,Other Floating Structures,Twine and Rope,Netting
"Fish: dried, salted, smoked or in brine",Twine and Rope,Iron Chains,Other Iron Products
Fishing and Hunting Equipment,Other Plastic Products,Rubber Footwear,Knitted Hats
Flat Flat-Rolled Steel,Coal Briquettes,Casting Machines,Ferroalloys
Flat-Rolled Iron,Carbides,Casting Machines,Aluminium Powder
Flat-Rolled Stainless Steel,Copper Plating,Other Metals,Nickel Sheets
Flavored Water,Paper Containers,Industrial Food Preperation Machinery,Other Plastic Sheetings
Flax Fibers,Iron Chains,Rubber Sheets,Knitted or crocheted fabrics of a width exceeding 30 cm
Flax Woven Fabric,Decals,Phenols,Ethylene Polymers
Flexible Metal Tubing,Turpentine,Synthetic Filament Yarn Woven Fabric,Utility Meters
Float Glass,Safety Glass,Metalworking Transfer Machines,Synthetic Rubber
Footwear Parts,Tanned Equine and Bovine Hides,Leather of Other Animals,Leather further prepared after tanning or crusting of animals (other than ovine)
Forging Machines,Kaolin Coated Paper,Vegetable Parchment,Petroleum Resins
Fork-Lifts,Shaped Wood,Dolomite,Knitted Hats
Friction Material,Other Esters,Hard Rubber,Carboxylic Acids
Frozen Fruits and Nuts,Raw Plastic Sheeting,Paper Spools,Other Plastic Products
Frozen Vegetables,Peat,Raw Sugar,Wood Crates
Fruit Juice,Vinyl Chloride Polymers,Pure Olive Oil,Other Frozen Vegetables
Furskin Apparel,Iron Ore,Asbestos,Non-optical Microscopes
Garden Tools,Equine and Bovine Hides,Vegetable Tanning Extracts,Metalworking Transfer Machines
Gas Turbines,Nickel Pipes,Military Weapons,Surveying Equipment
Gas and Liquid Flow Measuring Instruments,Medical Instruments,Chemical Analysis Instruments,Other Engines
Gaskets,Hard Rubber,Non-Knit Active Wear,Fishing and Hunting Equipment
Gelatin,Chemical Analysis Instruments,Coated Textile Fabric,Carboxylic Acids
Glands and Other Organs,Reclaimed Rubber,Sulfuric Acid,Non-Mechanical Removal Machinery
Glass Balls,Hair Trimmers,Other Isotopes,Oxygen Heterocyclic Compounds
Glass Beads,Flax Fibers,Photo Lab Equipment,Optical Fibers and optical fibre bundles
Glass Bottles,Metal Molds,Other Iron Products,Refractory Bricks
Glass Bricks,Metal Pickling Preparations,Labels,"Niobium, Tantalum, Vanadium and Zirconium Ore"
Glass Fibers,Non-woven Textiles,Glass Working Machines,Other Plastic Sheetings
Glass Mirrors,Reclaimed Rubber,Telephones,Silk-worm Cocoons
Glass with Edge Workings,Other Glass Articles,Copper Foil,Mirrors and Lenses
Glaziers Putty,Industrial Food Preperation Machinery,Scales,Other Paper Machinery
Glues,Copper Housewares,Aldehyde Derivatives,Jute Woven Fabric
Glycosides,Microscopes,Soybeans,Iron Ore
Grapes,Perfume Plants,Sowing Seeds,Tropical Fruits
Graphite,Zinc Ore,Iron Ore,Labels
Gravel and Crushed Stone,Stone Working Machines,Rock Wool,Cement
Ground Nuts,Ground Nut Meal,Electrical Control Boards,Borax
