export,import 1,import 2,import 3
Unpackaged Medicaments,Opto-Electric Instrument Parts,Other Knit Garments,Copper Housewares
Unprocessed Synthetic Staple Fibers,Cyclic Hydrocarbons,Photographic Chemicals,Amine Compounds
Unsaturated Acyclic Monocarboxylic Acids,Epoxides,Phenols,Soldering and Welding Machinery
Unvulcanised Rubber Products,Metal Signs,Compounded Unvulcanised Rubber,Electric Motors
Used Clothing,Toilet Paper,Building Stone,Other Furniture
Used Rubber Tires,"Sulfonated, Nitrated or Nitrosated Hydrocarbons",Other Processed Vegetables,Wood Charcoal
Utility Meters,Air Pumps,Interchangeable Tool Parts,Felt
"Vaccines, blood, antisera, toxins and cultures",Newsprint,Uncoated Paper,Packaged Medicaments
Vacuum Cleaners,Optical Fibers and optical fibre bundles,Non-Retail Animal Hair Yarn,Nickel Ore
Vacuum Flask,Nickel Ore,Semi chemical Woodpulp,Copper Alloys
Valves,Nickel Bars,Padlocks,Other Stainless Steel Bars
Vegetable Alkaloids,Insect Resins,Tin Bars,Other Cutlery
Vegetable Fiber,Quilted Textiles,Boiler Plants,Tulles and Net Fabric
Vegetable Plaiting Materials,Scrap Plastic,Ground Nuts,Coconut and Other Vegetable Fibers
Vegetable Saps,Chemical Analysis Instruments,Other Sugars,Petroleum Coke
Vegetable and Mineral Carvings,Combustion Engines,Stranded Copper Wire,Electrical Resistors
Vegetable or Animal Dyes,Micro-Organism Culture Preparations,Lake Pigments,Insect Resins
Vehicle Bodies (including cabs) for the motor vehicles (8701 to 8705),Hydraulic Brake Fluid,Combustion Engines,Rubber Belting
Vending Machines,Bandages,Uncoated Paper,Ball Bearings
Video Displays,Printed Circuit Boards,Sound Recordings,Electrical Capacitors
Video Recording Equipment,Documents of title (bonds etc) and unused stamps,Audio and Video Recording Accessories,Non-Retail Animal Hair Yarn
Video and Card Games,Fairground Amusements,Other Vegetable Fibers Fabric,Non-Knit Active Wear
Vinyl Chloride Polymers,Halogenated Hydrocarbons,Polycarboxylic Acids,"Industrial Fatty Acids, Oils and Alcohols"
Vitamins,Combed Wool or Animal Hair Fabric,Iron Ore,Asphalt Mixtures
Wadding,Tea,Other Plastic Products,Non-woven Textiles
Walking Sticks,Polyamides,Metal Signs,Other Edible Animal Products
Wallpaper,Other Copper Products,Synthetic Fabrics,Rolling Machines
Warp knit fabrics (including those made on galloon knitting machines),Vegetable Tanning Extracts,Sawn Wood,Other Cloth Articles
Washing and Bottling Machines,Copper Housewares,Boiler Plants,Refrigerators
Water,Toilet Paper,Plastic Lids,Peat
Water Soluble Proteins,Blank Audio Media,Sulfuric Acid,Other Knit Garments
Water and Gas Generators,Plastic Building Materials,Other Furniture,Audio Alarms
Waxes,Petroleum Jelly,Candles,Artistry Paints
Wheat,Other Heating Machinery,Other Agricultural Machinery,Harvesting Machinery
Wheat Flours,Stone Processing Machines,Other Agricultural Machinery,Mill Machinery
Whey and other milk products,Cement Articles,Cooking Hand Tools,Dairy Machinery
Window Dressings,Nickel Ore,Wool,Halogens
Wood Carpentry,Woodworking machines,Monofilament,Rubber Sheets
Wood Charcoal,Washing and Bottling Machines,Plastic Coated Textile Fabric,Woodworking machines
Wood Crates,Industrial Food Preperation Machinery,Other Agricultural Machinery,Small Iron Containers
Wood Fiberboard,Other Agricultural Machinery,Iron Springs,Industrial Food Preperation Machinery
Wood Frames,Refined Copper,Non-Retail Pure Cotton Yarn,Rubber Thread
Wood Kitchenware,Iron Ore,Manganese Ore,Starches
Wood Ornaments,Raw Copper,Non-Retail Pure Cotton Yarn,Refined Copper
Wood Stakes,Buses,Soybean Meal,Other Carbon Paper
Wood Wool,Portable Lighting,Soldering and Welding Machinery,Blank Audio Media
Wooden Tool Handles,Stone Working Machines,Decals,Jute Yarn
Woodworking machines,Ethylene Polymers,Looms,Quilted Textiles
Worked Ivory and Bone,Labels,Non-Knit Men's Coats,Combed Wool or Animal Hair Fabric
Woven Fabric of Synthetic Staple Fibers,Chemical Analysis Instruments,Nickel Ore,Wool or Animal Hair Waste
Woven Fabrics,Felt Machinery,Semi-Finished Iron,Other Cotton Fabrics
Wrenches,Iron Pyrites,Scrap Waste,Silk-worm Cocoons
X-Ray Equipment,Other Isotopes,Silver,Human Hair
Yeast,Washing and Bottling Machines,Combustion Engines,Drilling Machines
Zippers,Artificial Textile Machinery,Coal Briquettes,Starches
Electricity,Plastic Floor Coverings,Breathing Appliances,Mechanical Wood Pulp
Fuel Wood,Woodworking machines,Iron Chains,Other Iron Products
Other Fermented Beverages,Wood Kitchenware,Frozen Vegetables,Other Prepared Meat
Photographic Paper,Photographic Film,Lighters,Other Electrical Machinery
Rolled Tobacco,Wadding,Raw Tobacco,Print Production Machinery
Soybeans,Combustion Engines,Potassic Fertilizers,Rubber Belting
Waterproof Footwear,Looms,Jute Yarn,Combed Wool or Animal Hair Fabric
Aluminium Gas Containers,Umbrella and Walking Stick Accessories,Knit Sweaters,Bells and Other Metal Ornaments
Bovine Meat,Plastic Lids,Paper Containers,Wood Crates
Breathing Appliances,Bells and Other Metal Ornaments,Party Decorations,Image Projectors
Cereal Flours,Other Small Iron Pipes,Other Agricultural Machinery,Mill Machinery
Cinnamon,"Nutmeg, mace and cardamons",Cloves,Unmanned aircraft
Crustaceans,Other Floating Structures,Twine and Rope,Iron Anchors
Curbstones,"Industrial Fatty Acids, Oils and Alcohols",Raw Copper,Granite
Cut Flowers,Perfume Plants,Pickled Foods,Maps
Eyewear and Clock Glass,Optical Fibers and optical fibre bundles,Iron Housewares,Precious Stones
Fake Hair,Processed Hair,Chemical Analysis Instruments,Audio and Video Recording Accessories
Headbands and Linings,Glass Beads,Lignite,Nickel Bars
Inedible Fats and Oils,Raw Sugar,Copper Fasteners,Smoking Pipes
Iron Powder,Precious Metal Scraps,Hydrogen,Magnesium
Knit Women's Coats,Labels,Non-Knit Women's Shirts,Non-Knit Men's Coats
Labels,Non-Retail Artificial Filament Yarn,Ink Ribbons,Artificial Filament Yarn Woven Fabric
Lettuce,Spices,Raw Sugar,Bathroom Ceramics
Live Fish,Paper Containers,Molluscs,Other Plastic Products
Non-Knit Men's Shirts,Equine and Bovine Hides,Non-Knit Men's Coats,Non-Knit Men's Suits
Non-fillet Fresh Fish,Refined Petroleum,Molluscs,Other Floating Structures
Optical Fibers and optical fibre bundles,Knit Gloves,Iron Nails,Batteries
Other Floating Structures,Non-fillet Fresh Fish,Video Cameras,Flavored Water
Other Lead Products,Other Cutlery,Other Knit Clothing Accessories,Rubber Sheets
Other Vegetable Products,Transmissions,Valves,High-voltage Protection Equipment
Passenger and Cargo Ships,Iron Structures,Live Fish,Coated Metal Soldering Products
Processed Crustaceans,Leather Apparel,"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features, not specified or included elsewhere in this Chapter.",Other Plastic Products
Rough Wood,Wood Carpentry,Pulley Systems,Iron Chains
Rubber Thread,Flax Fibers,Musical Instrument Parts,Glass Balls
Special Purpose Ships,Frozen Bovine Meat,Soybeans,Silver Clad Metals
Steam Turbines,Air Pumps,Unsaturated Acyclic Monocarboxylic Acids,Microscopes
Textile Scraps,House Linens,Seats,Umbrella and Walking Stick Accessories
Time Switches,Reclaimed Rubber,Cyclic Hydrocarbons,Raw Silk
Tug Boats,Iron Structures,Passenger and Cargo Ships,Boiler Plants
Wood Barrels,Uncoated Paper,Copper Housewares,Other Vegetable Residues and Waste
Acyclic Hydrocarbons,Refined Petroleum,Iron Gas Containers,Centrifuges
Aircraft Launch Gear,Retail Silk Yarn,Military Weapons,Granulated Slag
Aircraft Parts,Gas Turbines,Shaped Wood,Bells and Other Metal Ornaments
Alcohol > 80% ABV,Hypochlorites,Potassic Fertilizers,Other Sugars
Aldehyde Derivatives,Nickel Ore,Cyclic Hydrocarbons,Raw Silk
Alkaline Metals,Chemical Analysis Instruments,Broadcasting Accessories,Photographic Chemicals
Alkylbenzenes and Alkylnaphthalenes,Cyclic Hydrocarbons,Titanium Ore,Nickel Ore
Aluminium Powder,Feldspar,Knitted Hats,Metal-Rolling Mills
Ammonia,Surveying Equipment,Gas and Liquid Flow Measuring Instruments,Portable Lighting
Animal Extracts,Newsprint,Other Knit Garments,Brochures
Antimony,Cadmium,Bismuth,Other Ores
Antiques,Other Furniture,Textile Wall Coverings,Pearl Products
"Aquatic invertebrates, other than crustaceans and molluscs",Other Floating Structures,Netting,Railway Cargo Containers
Artificial Fibers Waste,Textile Scraps,House Linens,Non-Knit Men's Undergarments
Artificial Filament Tow,Wood Wool,Sulphur,Reclaimed Rubber
Artificial Textile Machinery,Raw Cotton,Electrical Power Accessories,Nickel Ore
Asphalt Mixtures,Prepared Rubber Accelerators,Activated Carbon,Copper Housewares
Audio and Video Recording Accessories,Unmanned aircraft,Computers,Microphones and Headphones
Baby Carriages,Recovered Paper Pulp,Copper Foil,Non-Retail Animal Hair Yarn
Barbed Wire,Manganese Ore,Large Coated Flat-Rolled Iron,Ethylene Polymers
Barium Sulphate,Photographic Film,Mica,Microphones and Headphones
Biodiesel and mixtures thereof,Inedible Fats and Oils,Soybean Meal,Cyclic Hydrocarbons
Bird Feathers and Skins,Non-Retail Pure Cotton Yarn,Felt Machinery,Jute Yarn
Bird Skins and Feathers,Buttons,Phenols,Hydrides and other anions
Bismuth,Audio and Video Recording Accessories,Precious Stones,Nickel Bars
Bladed Weapons and Accessories,Microphones and Headphones,Calculators,Other Electrical Machinery
Blown Glass,Microphones and Headphones,Knit Men's Undergarments,Non-Retail Animal Hair Yarn
Boat Propellers,Baby Carriages,Nickel Ore,Wool or Animal Hair Waste
Borates,Industrial Printers,Broadcasting Equipment,Portable Lighting
Borax,Boron,Borates,Copper Housewares
Boron,Rubber Footwear,Instructional Models,Broadcasting Equipment
Bricks,Heavy Pure Woven Cotton,Metalworking Transfer Machines,Copper Housewares
Buses,Rubber Sheets,Copper Fasteners,Other Steel Bars
Cameras,Electrical Parts,Broadcasting Accessories,Electrical Capacitors
Carbon Paper,Dissolving Grades Chemical Woodpulp,Copper Bars,Metalworking Transfer Machines
Carboxyamide Compounds,Phenols,Looms,"Industrial Fatty Acids, Oils and Alcohols"
Carboxyimide Compounds,Pitch Coke,Chemical Analysis Instruments,Thermostats
Casein,Newsprint,Iron Housewares,Bi-Wheel Vehicle Parts
Cassava,Tropical Fruits,Other Vegetable Products,Raw Sugar
Ceramic Pipes,Copper Bars,Laboratory Ceramic Ware,Metalworking Transfer Machines
Cereal Straws,Other Small Iron Pipes,Paper Spools,Wood Crates
Chemically Pure Sugars,Peptones,Rubber Stamps,Textile Wall Coverings
Chromium Ore,Raw Zinc,Refractory Ceramics,Soldering and Welding Machinery
Chromium Oxides and Hydroxides,Chromium Ore,Iron Oxides and Hydroxides,Electrical Capacitors
Citrus and Melon Peels,Other Headwear,Ink Ribbons,Seed Oils
Clock Cases and Parts,Other Edible Animal Products,Coal Tar Oil,Audio and Video Recording Accessories
Clock Movements,Non-Retail Animal Hair Yarn,Other Edible Animal Products,Rubber Thread
Clocks with Watch Movements,Hats,Other Knit Clothing Accessories,Other Knit Garments
Cobalt,Processed Mushrooms,Delivery Trucks,Hot-Rolled Stainless Steel Bars
Cobalt Oxides and Hydroxides,Cobalt,Nickel Ore,Halogens
Cocoa Paste,Cocoa Beans,Wool Grease,Cocoa Powder
Coconut Oil,Acrylic Polymers,Chlorates and Perchlorates,Copper Housewares
Coconut and Other Vegetable Fibers,Aluminium Housewares,Artificial Vegetation,Plant foliage
Coin,Brochures,Other Precious Metal Products,Sheet Music
Collector's Items,Other Furniture,Antiques,Sculptures
Combed Wool or Animal Hair Fabric,Knitting Machine Accessories,Other Glass Articles,Non-Retail Silk Yarn
Composition leather with a basis of leather or leather fibre,Tanned Equine and Bovine Hides,Manganese Ore,Soybeans
Copper Alloys,Other Women's Undergarments,Blown Glass,Raw Zinc
Copper Bars,Steel Wire,Scrap Copper,Silicates
Copper Foil,Other Electrical Machinery,Therapeutic Appliances,Microphones and Headphones
Copper Plating,Medical Instruments,Molybdenum,Tungsten
Copper Powder,Knit Socks and Hosiery,Natural Polymers,Processed Mushrooms
Coral and Shells,Frozen Vegetables,Wood Kitchenware,Netting
Cotton Waste,Unprocessed Synthetic Staple Fibers,Coated Textile Fabric,Knit T-shirts
Cyanides,Fairground Amusements,Wool or Animal Hair Waste,Other Electrical Machinery
Cyclic Alcohols,Aldehydes,Turpentine,Rubber Apparel
Cyclic Hydrocarbons,Petroleum Gas,Refined Petroleum,Halogenated Hydrocarbons
Dashboard Clocks,Aircraft Parts,Rolled Tobacco,Musical Instrument Parts
Decals,Dolomite,Nickel Mattes,Sugar Preserved Foods
Detonating Fuses,Other Knit Clothing Accessories,Prepared Explosives,Glycosides
Developed Exposed Photographic Material,Oscilloscopes,Disc Chemicals for Electronics,Neck Ties
Diamonds,Sound Recording Equipment,Neck Ties,Microphones and Headphones
"Diazo, Azo or Aoxy Compounds",Silver Clad Metals,Optical Fibers and optical fibre bundles,Dissolving Grades Chemical Woodpulp
Disc Chemicals for Electronics,Hydrogen,Oscilloscopes,Other Knit Clothing Accessories
Dithionites and Sulfoxylates,Other Measuring Instruments,Cast or Rolled Glass,Optical Fibers and optical fibre bundles
Dolomite,Glycosides,Decals,Carboxyimide Compounds
Electrical Parts,Other Electrical Machinery,String Instruments,Shaped Paper
Embroidery,Raw Silk,Silk Fabrics,Other Cotton Fabrics
Epoxides,Cyclic Alcohols,Developed Exposed Photographic Material,Unsaturated Acyclic Monocarboxylic Acids
Explosive Ammunition,Prepared Explosives,Ornamental Ceramics,Party Decorations
Eyewear Frames,Eyewear,Non-Knit Active Wear,Non-Knit Women's Shirts
Felt Carpets,Knit Men's Suits,Non-Knit Men's Suits,Air Pumps
Felt Machinery,Starches,Equine and Bovine Hides,Soybeans
Ferroalloys,Other Iron Products,Rubber Pipes,Carbon-based Electronics
Filing Cabinets,Electrical Resistors,Cast or Rolled Glass,Mica
Fire Extinguishers Preparations,Newsprint,Composition leather with a basis of leather or leather fibre,Shaped Wood
Fireworks,Wood Frames,Other Furniture,Audio Alarms
Fish oil,"Awnings, Tents, and Sails",Wrenches,Portable Lighting
Flax Yarn,Wool,Recovered Paper Pulp,Nickel Ore
Fluorides,Zinc Ore,Fairground Amusements,Telephones
Frozen Bovine Meat,Other Hand Tools,Sports Equipment,Cement Articles
Fruit Pressing Machinery,Raw Sugar,Nitrites and Nitrates,Wood Stakes
Garments of Impregnated Fabric,Other Knit Garments,Other Knit Clothing Accessories,Non-Knit Active Wear
Garnetted Wool or Animal Hair,Textile Wall Coverings,Bandages,Laboratory Reagents
Gauze,"Wood Tar, Oils and Pitch",Non-Knit Active Wear,Non-Retail Artificial Filament Yarn
Gimp Yarn,Phenols,Optical Fibers and optical fibre bundles,Zirconium
Glass Bulbs,Non-Knit Men's Undergarments,Rubber Stamps,Non-Retail Silk Yarn
Glass Scraps,Non-Knit Active Wear,Knit Sweaters,Bedspreads
Glass Working Machines,Pearls,Non-Retail Silk Yarn,Other Women's Undergarments
Gold,Medical Instruments,Telephones,Instructional Models
Granite,Paper Containers,Plastic Lids,Worked Slate
Granulated Slag,Microphones and Headphones,Silver Clad Metals,Non-Knit Active Wear
Halides,Microscopes,Graphite,Oscilloscopes
Halogens,Other Carpets,Time Switches,Aluminium Gas Containers
Hand-Woven Tapestries,Base Metal Watches,Pearl Products,Umbrella and Walking Stick Accessories
Handkerchiefs,Nickel Ore,Halogens,Wool
Hard Liquor,Iron Toiletry,Non-Knit Women's Coats,Porcelain Tableware
Honey,Plastic Lids,Phosphoric Acid,Pesticides
Hormones,Chemical Analysis Instruments,Thermostats,Medical Instruments
Horsehair Fabric,Iron Reductions,Metallic Fabric,"Industrial Fatty Acids, Oils and Alcohols"
Hot-Rolled Stainless Steel Bars,Stainless Steel Ingots,Halides,Combed Wool or Animal Hair Fabric
Hydraulic Turbines,Other Coloring Matter,Graphite,Titanium
Hydrazine or Hydroxylamine Derivatives,Halogenated Hydrocarbons,Halides,Cyclic Hydrocarbons
Hydrides and other anions,Scrap Nickel,Scrap Rubber,Nickel Powder
Hydrochloric Acid,Kaolin,Walking Sticks,Other Knit Clothing Accessories
Hydrogen peroxide,Petroleum Jelly,Walking Sticks,Sodium or Potassium Peroxides
Image Projectors,Gold,Other Edible Animal Products,Precious Stones
Incomplete Movement Sets,Optical Fibers and optical fibre bundles,Unmanned aircraft,Other Leather Articles
Iron Anchors,Cyclic Hydrocarbons,Titanium Ore,Laboratory Ceramic Ware
Iron Ingots,Undeveloped Exposed Photographic Material,Vegetable and Mineral Carvings,Pearl Products
Kaolin,Hand-Woven Rugs,Sulfuric Acid,Chemical Analysis Instruments
Knitted or crocheted fabrics of a width exceeding 30 cm,Propylene Polymers,Semi chemical Woodpulp,Glass Beads
Knotted Carpets,Copper Housewares,Bedspreads,Textile Processing Machines
Large Aluminium Containers,Copper Pipes,Rubber Tires,Aluminium Wire
Lead Oxides,Precious Metal Compounds,Walking Sticks,Other Coloring Matter
Lead Sheets,Bismuth,Zinc Sheets,Window Dressings
Leather further prepared after tanning or crusting of animals (other than ovine),Tanned Equine and Bovine Hides,Equine and Bovine Hides,Tanned Goat Hides
Leather further prepared after tanning or crusting of sheep or lamb,Tanned Sheep Hides,Tanned Goat Hides,Buttons
Leather of Other Animals,Leather Machinery,Synthetic Tanning Extracts,Synthetic Filament Yarn Woven Fabric
Legume Flours,Animal or Vegetable Fertilizers,Rubber Tires,Animal Food
Letter Stock,Float Glass,Labels,Leather further prepared after tanning or crusting of animals (other than ovine)
"Lifting, handling, loading or unloading machinery; n.e.c. in heading no. 8425, 8426 or 8427 (e.g. lifts, escalators, conveyors, teleferics)",Other Carpets,Tufted Carpets,Non-Retail Carded Wool Yarn
Light Rubberized Knitted Fabric,Zinc Sheets,Non-Retail Animal Hair Yarn,Other Women's Undergarments
Limestone,Scrap Waste,Tea,Ferroalloys
Looms,Knitting Machine Accessories,Sulfonamides,Audio and Video Recording Accessories
"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays",Wood Kitchenware,Frozen Vegetables,Other Prepared Meat
Magnesium Hydroxide and Peroxide,Tulles and Net Fabric,Molybdenum Ore,Reclaimed Rubber
Manganese,Documents of title (bonds etc) and unused stamps,Aluminium Ore,Other Edible Animal Products
Manganese Ore,Woven Fabric of Synthetic Staple Fibers,Synthetic Tanning Extracts,Other Coloring Matter
Manganese Oxides,Raw Zinc,Microphones and Headphones,Antimony
Mannequins,Tanned Equine and Bovine Hides,Equine and Bovine Hides,Non-Retail Pure Cotton Yarn
"Marble, Travertine and Alabaster",Phosphoric Acid,Animal or Vegetable Fertilizers,Stone Working Machines
Metal-Clad Products,Malt Extract,Telephones,Precious Metal Watches
Metal-Rolling Mills,Nickel Sheets,Graphite,Casting Machines
Metallic Fabric,Horsehair Yarn,Hot-Rolled Stainless Steel Bars,Embroidery
Metallic Yarn,Non-Retail Silk Yarn,Copper Plating,Bismuth
Metalworking Transfer Machines,Petroleum Resins,Water Soluble Proteins,Graphite
Molasses,Cucumbers,Iron Housewares,Antiknock
Molybdenum,Silicates,Titanium,"Lifting, handling, loading or unloading machinery; n.e.c. in heading no. 8425, 8426 or 8427 (e.g. lifts, escalators, conveyors, teleferics)"
Motor vehicle (8701 to 8705) chassis fitted with engine,Casein,Hydraulic Brake Fluid,Mannequins
Musical Instrument Parts,Cars,Jewellery,Pearl Products
Natural Cork Articles,Raw Cork,Agglomerated Cork,Vinegar
Newsprint,Fire Extinguishers Preparations,Mechanical Wood Pulp,Aluminium Pipes
Nickel Pipes,Raw Zinc,"Non-Iron and Steel Slag, Ash and Residues",Refrigerators
Nickel Powder,Stranded Copper Wire,Dashboard Clocks,"Motion-picture film, exposed and developed"
Nickel Sheets,Raw Zinc,Scrap Nickel,Other Metals
"Niobium, Tantalum, Vanadium and Zirconium Ore",Aluminium Plating,Stainless Steel Ingots,Boron
Nitric Acids,Scrap Rubber,Copper Housewares,Vegetable Saps
Nitrile Compounds,Ketones and Quinones,Non-Retail Animal Hair Yarn,Artificial Textile Machinery
"Non-Iron and Steel Slag, Ash and Residues",Other Cutlery,Carbides,Copper Foil
Non-Retail Animal Hair Yarn,Chromium Ore,Manganese Ore,Iron Ore
Non-Retail Artificial Filament Yarn,Other Cloth Articles,Chemical Analysis Instruments,Audio and Video Recording Accessories
Non-Retail Artificial Staple Fibers Yarn,Textile Fiber Machinery,Artificial Textile Machinery,Styrene Polymers
Non-Retail Carded Wool Yarn,Non-Retail Animal Hair Yarn,Jute Yarn,Ceramic Pipes
Non-Retail Combed Wool Yarn,Wool,Non-Retail Animal Hair Yarn,Ceramic Pipes
Non-Retail Mixed Cotton Yarn,Textile Fiber Machinery,Looms,Unprocessed Synthetic Staple Fibers
Non-Retail Silk Yarn,Sulphur,Borax,Nickel Ore
Non-Retail Synthetic Staple Fibers Yarn,Textile Fiber Machinery,Artificial Textile Machinery,Processed Synthetic Staple Fibers
Non-optical Microscopes,Boat Propellers,X-Ray Equipment,Electric Batteries
Non-powered Aircraft,Unmanned aircraft,Other Leather Articles,Microphones and Headphones
Other Animal Fats,Rubber Apparel,Flavored Water,Other Pure Vegetable Oils
Other Carbon Paper,Optical Fibers and optical fibre bundles,Integrated Circuits,Mica
Other Clocks and Watches,Watch Movements,Unmanned aircraft,Microphones and Headphones
Other Firearms,Weapons Parts and Accessories,Explosive Ammunition,Non-powered Aircraft
Other Frozen Vegetables,Wood Barrels,Mechanical Wood Pulp,Electricity
Other Hides and Skins,Sulfuric Acid,Processed Cereals,Horses
Other Isotopes,Chemical Analysis Instruments,Copper Housewares,Plastic Housewares
Other Metals,Refractory Ceramics,Casting Machines,Coated Metal Soldering Products
Other Nitrogen Compounds,Ketones and Quinones,"Non-Iron and Steel Slag, Ash and Residues",Epoxides
Other Paints,Newsprint,Cutlery Sets,Hair Trimmers
Other Precious Metal Products,Watch Straps,Self-Propelled Rail Transport,Platinum
Other Slag and Ash,Iron Structures,Steam Boilers,Scrap Copper
Other Tin Products,Signaling Glassware,Raw Tin,Other Metals
Other Vegetable Fibers Fabric,Optical Fibers and optical fibre bundles,Other Measuring Instruments,Cast or Rolled Glass
Other Vegetable Fibers Yarn,Audio and Video Recording Accessories,Antimony,Laboratory Reagents
Other Vegetable Oils,Plastic Pipes,Scales,Unprocessed Synthetic Staple Fibers
Other Vegetable Residues and Waste,Ceramic Tableware,Phosphoric Acid,Plastic Pipes
Other inorganic compounds,Nickel Powder,Broadcasting Accessories,Optical Fibers and optical fibre bundles
Oxometallic or Peroxometallic Acid Salts,Optical Fibers and optical fibre bundles,Knit Women's Shirts,Microscopes
Paper Spools,Vegetable Tanning Extracts,Other Knit Clothing Accessories,Hydraulic Brake Fluid
Papermaking Machines,Sulfate Chemical Woodpulp,Chemical Analysis Instruments,Ceramic Pipes
"Parts of aircraft and spacecraft of heading 8801, 8802 or 8806, n.e.s.",Aircraft Parts,Raw Sugar,Military Weapons
Pearl Products,Undeveloped Exposed Photographic Material,Knotted Carpets,Other Furniture
Pearls,Developed Exposed Photographic Material,Neck Ties,Jewellery
Peat,Buses,Soybean Meal,Other Carbon Paper
Percussion,Microscopes,Blown Glass,Pianos
Pharmaceutical Animal Products,Rubber Belting,Organo-Sulfur Compounds,Rubber Pipes
Phenol Derivatives,Fishing and Hunting Equipment,Nickel Powder,Gauze
Phenols,Revolution Counters,Ball Bearings,Air Pumps
Phosphatic Fertilizers,Calcium Phosphates,Sulfuric Acid,Other Coloring Matter
Phosphoric Acid,Aldehydes,Stone Working Machines,Float Glass
Photo Lab Equipment,Oxometallic or Peroxometallic Acid Salts,Silver,Horsehair Yarn
Photographic Film,Horsehair Yarn,Other Electrical Machinery,Cameras
Photographic Plates,Cameras,Calculators,Cyclic Alcohols
Pianos,Household Washing Machines,Other Prepared Meat,Wood Kitchenware
Pig Iron,Fluorides,Soldering and Welding Machinery,Non-Mechanical Removal Machinery
Pig Meat,Paper Containers,Plastic Lids,Small Iron Containers
Pitch Coke,Iron Ore,Manganese Ore,Feldspar
"Planes, Helicopters, and/or Spacecraft",Aircraft Parts,"Parts of aircraft and spacecraft of heading 8801, 8802 or 8806, n.e.s.",Other Furniture
Plant foliage,Veneer Sheets,Other Sea Vessels,Frozen Fruits and Nuts
Platinum,Textile Wall Coverings,Furskin Apparel,Metallic Fabric
Polymer Ion-Exchangers,Chemical Analysis Instruments,Nickel Sheets,Uncoated Paper
Potato Flours,Maps,Rubber Stamps,Filing Cabinets
Precious Metal Compounds,Platinum,Vegetable Alkaloids,Jewellery
Precious Metal Scraps,Pearl Products,Medical Instruments,Laboratory Reagents
Precious Metal Watches,Other Knit Garments,Imitation Jewellery,Knit Active Wear
Precious Stone Dust,Telephones,Audio Alarms,Pitch Coke
Precious Stones,Sulfuric Acid,Traffic Signals,Microphones and Headphones
Prepared Cotton,Seats,House Linens,Knit Babies' Garments
Prepared Paint Driers,Wool Grease,Packaged Medicaments,Eyewear Frames
Prepared Pigments,Copper Housewares,Tufted Carpets,Clocks with Watch Movements
Prepared Wool or Animal Hair,Wool,Non-Retail Animal Hair Yarn,Artificial Textile Machinery
Preserved Meat,Wood Crates,Glass Bottles,Paper Containers
Prints,Antiques,Other Furniture,Sculptures
Processed Artificial Staple Fibers,Other Cotton Fabrics,Photographic Paper,Unprocessed Artificial Staple Fibers
Processed Bones,Other Small Iron Pipes,Amine Compounds,Wheat Gluten
Processed Egg Products,Poultry,Raw Sugar,Paper Containers
Processed Tobacco,Raw Tobacco,Conveyor Belt Textiles,Scented Mixtures
Propellant Powders,Explosive Ammunition,Prepared Explosives,Nickel Pipes
Quartz,Feldspar,Stone Working Machines,Electric Furnaces
Railway Maintenance Vehicles,Particle Board,Seats,Artificial Vegetation
Railway Track Fixtures,Rubber Sheets,Rubber Belting,Interchangeable Tool Parts
Rapeseed Oil,Iron Blocks,Lubricating Products,Raw Iron Bars
Rare-Earth Metal Compounds,Forage Crops,Other Cloth Articles,Hydrogen
Raw Aluminium,Iron Chains,Rubber Tires,Machinery Having Individual Functions
Raw Nickel,Tensile Testing Machines,Dolomite,Antiknock
Raw Tin,Bismuth,Coated Flat-Rolled Iron,Uncoated Paper
Raw Tobacco,Computers,Felt Machinery,Pens
Raw Zinc,Stranded Copper Wire,Zinc Ore,Pickled Foods
Reclaimed Rubber,Processed Artificial Staple Fibers,Jute Yarn,Metallic Fabric
Recovered Paper Pulp,Other Furniture,Laboratory Reagents,Micro-Organism Culture Preparations
Refined Copper,Scrap Copper,Iron Pipe Fittings,Titanium Ore
Residual products of the chemical or allied industries,Flavored Water,Medical Furniture,Baked Goods
Retail Artificial Staple Fibers Yarn,Processed Synthetic Staple Fibers,Heavy Mixed Woven Cotton,Composition leather with a basis of leather or leather fibre
Retail Cotton Yarn,Laboratory Reagents,"Industrial Fatty Acids, Oils and Alcohols",Synthetic Coloring Matter
Retail Silk Yarn,"Diazo, Azo or Aoxy Compounds",Garnetted Wool or Animal Hair,Non-Retail Silk Yarn
Retail Wool or Animal Hair Yarn,Processed Artificial Staple Fibers,Leather Apparel,Cyclic Alcohols
Revenue Stamps,Collector's Items,Human Hair,Antiques
Roofing Tiles,Heavy Pure Woven Cotton,Other Cotton Fabrics,"Niobium, Tantalum, Vanadium and Zirconium Ore"
Rosin,Turpentine,Sulfuric Acid,Hydraulic Brake Fluid
Rubber,Electrical Ignitions,Carbon,Compounded Unvulcanised Rubber
Scrap Copper,Knives,Iron Nails,Copper Bars
Scrap Nickel,Other Metals,Carbides,Hydraulic Turbines
Scrap Rubber,Wheat Flours,Eyewear,Soups and Broths
Scrap Waste,Brochures,Copper Housewares,Eyewear
Sculptures,Other Furniture,Prints,Glass Bricks
